,origin,bar_name,cocoa_%,ingredients,review,rating
65,Dominican Republic,"Conacado, batch 130",60.0,"4- B,S,C,L","sandy, sweet, dairy, spice",3.0
66,Bolivia,"Bolivia, batch 101",80.0,"4- B,S,C,L","gritty, berry, mild bitter",3.25
67,Bolivia,"Bolivia, batch 154",60.0,"4- B,S,C,L","grit, sweet, caramel, fruit",3.0
68,Peru,"Peru, batch 148",60.0,"4- B,S,C,L","gritty, too sweet, fruit",3.25
69,Nicaragua,Momotombo,60.0,"3- B,S,C","powdery, sweet, molasses",2.75
70,Peru,Acopagro,60.0,"3- B,S,C","dry, sweet, caramel",3.0
71,Bolivia,CIAAB Coop,60.0,"3- B,S,C","sandy, sweet, pungent",2.5
72,Peru,Villa Andina,60.0,"3- B,S,C","sandy, sweet, sour, off",2.5
73,Ecuador,Gruppo Salinas,60.0,"3- B,S,C","sandy, nutty, earthy, roasty",2.75
74,Dominican Republic,Oko Caribe,70.0,"3- B,S,C","sweet, coarse, nutty",3.0
75,Madagascar,Madagascar,70.0,"4- B,S,C,V","spice, nut, cocoa, fruit",3.5
76,Venezuela,Cuyagua,70.0,"4- B,S,C,V","waxy, nutty, mint",3.0
77,Venezuela,Ocumare,70.0,"4- B,S,C,V","spicy, strawberry",3.75
78,Indonesia,"Bali, Jembrana",70.0,"4- B,S,C,V","sticky, nutty, high acidity",2.75
79,Venezuela,Montanya,70.0,"4- B,S,C,V","hot spice, roasty",3.0
80,Dominican Republic,Dos Rios,70.0,"4- B,S,C,V","orange, cinamon",3.75
81,Ecuador,Guayas,70.0,"4- B,S,C,V","strong spice, intense pepper",4.0
82,Venezuela,Chuao,70.0,"4- B,S,C,V","woody, red berry, sour",3.0
83,Papua New Guinea,Morobe,70.0,"4- B,S,C,V","tart, lemon, smoke",4.0
84,Ghana,Ghana,70.0,"2- B,S","dry, chalky, fudge-like",3.0
85,Ecuador,Ecuador,70.0,"2- B,S","waxy mouthfeel, spicy",2.75
86,Ecuador,Ecuador,85.0,"2- B,S","fatty, mushroom, off notes",2.75
87,Ghana,Ghana,85.0,"2- B,S","roasty,oddly sweet,marshmallow",3.0
88,Peru,Maranon,70.0,"3- B,S,C","raisins, pungent",3.0
89,Peru,Platan Bajo,70.0,"3- B,S,C","few grits, blackcherry, licorice",3.5
90,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72.0,"3- B,S,C","oily, vanilla, melon, cocoa",3.25
91,Peru,"Bellavista Gran Pajeten, San Martin",73.0,"3- B,S,C","oily, vegetal, nutty, cocoa",3.5
92,Belize,Belize,64.0,"4- B,S,C,L","roasty, brownie, nutty",3.0
93,Madagascar,Madagascar,66.0,"2- B,S","fruity, sour",3.25
94,Dominican Republic,Dominican Republic,75.0,"2- B,S","high roast, high astringnet",3.25
95,Papua New Guinea,Papua New Guinea,63.0,"2- B,S","smokey, savory",3.25
96,Venezuela,Venezuela,70.0,"2- B,S","sandy, roasty, nutty",3.25
97,Peru,Peru,68.0,"2- B,S","rich, sour, mild smoke",3.5
98,Blend,Toscano Black,66.0,"4- B,S,C,V","red wine, rich cocoa, long",3.75
99,Ecuador,Ecuador,70.0,"4- B,S,C,V","creamy, earthy, vegetal",3.0
100,Jamaica,Jamaica,70.0,"4- B,S,C,V","sandy, woody, spicy",3.0
101,Grenada,Grenada,70.0,"4- B,S,C,V",fruity with coffee notes,3.5
102,Venezuela,Venezuela,70.0,"4- B,S,C,V","creamy, fruit, cocoa",3.75
103,Trinidad,Trinidad,70.0,"4- B,S,C,V","coffee, fruit, woodsy",3.5
104,Blend,Toscano Black,63.0,"4- B,S,C,V","fatty, dairy, caramel, cocoa",3.5
105,Peru,"Piura, Blanco de Criollo",70.0,"4- B,S,C,V","creamy, raspberry, nutty",3.75
106,Madagascar,Madagascar,70.0,"4- B,S,C,V","vanilla, mint, roasty",3.0
107,Venezuela,Chuao,70.0,"4- B,S,C,V","vanilla, nuts, roasty",3.0
108,Venezuela,Porcelana,70.0,"4- B,S,C,V","nutty, mild roasty, vanilla",3.0
109,Blend,Nine,75.0,"4- B,S,C,V","sweet, delicate, complex",3.5
110,Blend,Toscano Black,70.0,"3- B,S,C","nut, fatty, rubbery, rich",2.75
111,Brazil,"Monte Alegre, 3 diff. plantations",85.0,"4- B,S,C,L","creamy, red berry, bitter",2.75
112,Brazil,"Monte Alegre, 3 diff. plantations",50.0,"4- B,S,C,L","very sweet, bright red, banana",3.75
113,Brazil,"Monte Alegre, 3 diff. plantations",75.0,"4- B,S,C,L","roasty, fatty, nutty, coffee",3.75
114,Brazil,"Monte Alegre, 3 diff. plantations",60.0,"4- B,S,C,L","creamy, sweet,cocoa,banana",4.0
115,Brazil,Catongo,75.0,"4- B,S,C,L","grainy, sweet, poor aftertaste",3.25
116,Dominican Republic,Elvesia,75.0,"2- B,S","chalky, mild fruit, burnt",3.0
117,Bolivia,Alto Beni,75.0,"2- B,S","light roast, caramel, cocoa",3.5
118,Belize,"Maya Mountain, batch 39",75.0,"2- B,S","burnt toast, cherry",3.0
119,Guatemala,"Alta Verapaz, Cahabon & Lanquin regions, b. 4243",75.0,"2- B,S","orange citrus, harsh earthiness",3.25
120,Madagascar,Madagascar,75.0,"3- B,S,C","sandy, fruity, short",3.0
121,Mexico,Chiapas,72.0,"3- B,S,C","earthy, sour milk, leather",2.5
122,Ecuador,Equateur,75.0,"3- B,S,C","bitter, floral, leather",2.75
123,Venezuela,Trincheras,75.0,"3- B,S,C","nutty, mild spice, mild earthy",3.0
124,Brazil,Fazenda Camboa,70.0,"2- B,S","creamy, rich, rum, roasty",3.5
125,Peru,Nacional,68.0,"2- B,S","floral, nutty, rich cocoa",3.5
126,Ecuador,"Puerto Quito, heirloom",70.0,"2- B,S","spicy, cocoa",3.75
127,Dominican Republic,Oko Caribe,70.0,"2- B,S","spicy, brownie, nutty",3.5
128,Belize,Maya Mountain,70.0,"2- B,S","floral, strawberry, metallic",3.75
129,Nicaragua,Chuno,70.0,"2- B,S","creamy,sticky, peanut butter",4.0
130,Brazil,Fazenda Camboa,75.0,"2- B,S","floral, chemical off",2.75
131,Guatemala,Guatemala,70.0,"2- B,S","strawberry, butterscotch, off",3.25
132,Ecuador,Camino Verde,75.0,"3- B,S,C","intense, floral, bourbon",3.5
133,Trinidad,San Juan,70.0,"2- B,S","delicate, simple",3.5
134,Tanzania,Kokoa Kamili,70.0,"2- B,S","appealing smoke, woody",3.75
135,Vietnam,Tien Giang,73.0,"3- B,S,C","cashew, roasty, chunky melt",3.5
136,Ecuador,Hacienda Victoria,70.0,"3- B,S,C","sticky, floral, roasty",3.25
137,Ecuador,Costa Esmeraldas,70.0,"3- B,S,C","chewy, mild floral",3.25
138,Guatemala,Lachua,70.0,"2- B,S","subtle, mysterious",3.5
139,Nicaragua,Rugoso,70.0,"3- B,S,C","muddy, rich cocoa, raspberry",3.75
140,Honduras,"La Masica, FHIA",70.0,"2- B,S","nutty, green",3.5
141,Costa Rica,"Coto Brus, Terciopelo",70.0,"2- B,S","balanced, cherry, choco",4.0
142,Peru,Phantom,70.0,"2- B,S","creamy, complex, balanced",4.0
143,Fiji,Matasawalevu,70.0,"2- B,S","smoke, hammy, cocoa base",3.25
144,Vietnam,Lam Dong,73.0,"2- B,S","earthy, nutty, cardboard",3.25
145,Dominican Republic,Elvesia,70.0,"2- B,S","dark berry, chocolatey",3.75
146,India,Anamalai,70.0,"2- B,S","slight roasty, basic cocoa",3.5
147,Madagascar,Sambirano Valley,70.0,"3- B,S,C",sour fruit,3.5
148,Vietnam,Ben Tre,73.0,"3- B,S,C","rich cocoa, mild roasty",3.5
149,Bolivia,Beniano,70.0,"2- B,S","creamy, bright fruit",4.0
150,Peru,Ucayali,70.0,"3- B,S,C","dried fruit, fig, anise",3.5
151,Haiti,Pisa,70.0,"2- B,S","long lasting, cocoa",4.0
152,Trinidad,Ramnath E.,70.0,"2- B,S","nuts, dried fruit, short",3.0
153,Colombia,Tumaco,70.0,"2- B,S","smooth, nutty, cocoa",4.0
154,India,Jangareddygudem,70.0,"3- B,S,C","herbs, mushroom, acidic",3.25
155,India,Idukki,70.0,"3- B,S,C","burn butterscotch, rubbery",3.0
156,Nicaragua,Masaya,70.0,"2- B,S","melon, late hammy",3.25
157,Nicaragua,Mombacho,70.0,"2- B,S","smooth, vegetal",3.5
158,Nicaragua,Cocibolca,70.0,"2- B,S","roasty, rich cocoa",3.5
159,Nicaragua,Apoyo,70.0,"2- B,S","cocoa, earthy, hammy",3.0
160,Congo,Congo,72.0,"3- B,S,C","spicy, minty, vegetal",3.75
161,Venezuela,"Ocumare, Venezuela",75.0,"3- B,S,C","oily, nutty, burnt, sour",2.5
162,Indonesia,Java,72.0,"3- B,S,C","gritty, very smokey, sour",2.75
163,Brazil,Brazil Rio Doce,72.0,"3- B,S,C","cocoa, dominate off note",1.75
164,Madagascar,Madagascar,80.0,"3- B,S,C","sl. bitter, cherry, rich",3.0
165,Peru,Peru,75.0,"3- B,S,C","spicey, mild metallic",3.0
166,Dominican Republic,Dominican Republic,72.0,"3- B,S,C","spice, cocoa, short",3.25
167,Venezuela,Venezuela,100.0,"3- B,S,C","very nutty, very bitter",1.75
168,Jamaica,Jamaica,72.0,"3- B,S,C","grassy, black licorice, mint",3.75
169,Costa Rica,Costa Rica,72.0,"3- B,S,C","chewy, grassy, nutty",3.25
170,Vietnam,Ba Ria Vung Tau Province,72.0,"3- B,S,C","unrefined, distinct spicey",3.25
171,Indonesia,Bali,72.0,"3- B,S,C",black pepper and banana,3.5
172,Haiti,Haiti,72.0,"3- B,S,C","nuts, butterscotch, brownie",4.0
173,Panama,Panama,72.0,"3- B,S,C","blackpepper,chemical,rubber",2.75
174,Colombia,"Colombia, Casa Luker",72.0,"3- B,S,C","marshmallow, roasty, nutty",3.75
175,Trinidad,"Trinidad, Heritage, Limited ed.",72.0,"3- B,S,C","gritty, nutty",3.25
176,Colombia,"Orinoqua Region, Arauca",72.0,"4- B,S,C,L","creamy, marshmallow, off",2.75
177,India,"Idukki Kerala, lot IN728221",72.0,"4- B,S,C,L","cinamon, nutmeg, fatty",3.25
