,origin,bar_name,cocoa_%,ingredients,review,rating
678,Venezuela,"Cumboto, farmer Jose Lugo, batch 1",70.0,"2- B,S","acidic, sour, cocoa",2.75
679,Venezuela,"Patanemo, batch 3",70.0,"2- B,S","licorice, sour, rich cocoa",3.25
680,Venezuela,"Mantuano, 2012, batch 1",70.0,"2- B,S","roasty, oreo shell, coffee",3.5
681,Papua New Guinea,"Papua New Guinea, batch 1",70.0,"2- B,S","mild smoke, raspberry,cocoa",3.5
682,Belize,Maya Mountain,70.0,"2- B,S","heavy roast, blackberry",3.5
683,Ecuador,"Camino Verde P., Balao, Guayas, 2013",70.0,"2- B,S","gummy, nutty, bourbon",3.5
684,Liberia,Buto,70.0,"2- B,S","roasty, spicy, nutty",2.75
685,Dominican Republic,"San Francisco de Macoris, Cibao region",70.0,"2- B,S","cherry, rich choco",3.75
686,Belize,"Maya Mtn., Break Bar- Snark",70.0,"2- B,S","intense, roasty, coffee, raisin",3.0
687,Dominican Republic,"Zorzal Reserva, 2015 H., Kerchner",70.0,"2- B,S","cherry, rich choco",3.75
688,Costa Rica,"Hacienda Azul, 2016 Harvest",70.0,"2- B,S","cocoa, sour, toffee, earthy",3.0
689,Sierra Leone,"Gola Rainforest, 2017 harvest",70.0,"2- B,S","vegetal, high astringency",3.0
690,Honduras,"WAMPU, La Mosquitia, 2017 harvest",70.0,"2- B,S","nutty, moderate acidity",3.25
691,India,"Anamalai, 2017 harvest",70.0,"2- B,S","ripe orange, citrus",3.5
692,Vietnam,"Ben Tre, 2018 Harvest",70.0,"2- B,S","green apple, sticky",3.5
693,Tanzania,"Kokoa Kamili, 2017 h., batch 2",70.0,"2- B,S","dairy, honey, cocoa",3.5
694,Brazil,"Vale Potumuju, 2019 h., batch 1",70.0,"2- B,S",distinct choco and graham,4.0
695,Peru,"Piura Blanco, 2015 h.,Norandino Coop, batch 1",70.0,"2- B,S","grape, pungent",3.25
696,Dominican Republic,"Zorzal Estate, 2016 h., batch 1",70.0,"2- B,S","faint fruit, basic fudgey",3.5
697,Guatemala,"Cahabon, Cacao Verapaz, ADIOESMAC, batch 1",70.0,"2- B,S","pungent, woody, choco pudding",2.75
698,India,"Anamalai, 2018 H., batch 1",70.0,"2- B,S","pungent, sour, tart, intense",2.75
699,India,"Anamalai, 2019 H., batch 1, nutmeg fermentation",70.0,"2- B,S","orange soda, sour",3.25
700,Dominican Republic,Dominican Republic,70.0,"2- B,S","grassy, fruity, brownie",3.25
701,Madagascar,Madagascar,70.0,"2- B,S","brownie, red berry",3.25
702,Tanzania,Tanzania,70.0,"2- B,S",cocoa flavor dominates,3.25
703,Dominican Republic,"Zorzal Estate, 2017 h.",70.0,"2- B,S","light caramel, sl. dry, earthy",3.0
704,Guatemala,Las Acacias E.,75.0,"4- B,S,C,V","dark woody, plum, astringent",3.0
705,Guatemala,Las Acacias E.,60.0,"4- B,S,C,V","wood, holiday spice, soap",3.25
706,Guatemala,Los Ujuxtes,60.0,"4- B,S,C,V","oily, dried fruit, vanilla",3.5
707,Venezuela,Chuao,75.0,"4- B,S,C,V","gummy, fatty, caramel",3.0
708,Guatemala,Los Ujuxtes,70.0,"2- B,S",spicy,3.75
709,Madagascar,Sambirano,70.0,"2- B,S","oily, toffee, hints of fruit",3.75
710,Guatemala,Las Acacias E.,70.0,"2- B,S","sweet spice, floral",4.0
711,Guatemala,"Oscuro, Finca Chimelb",70.0,"2- B,S","nutty, ashey, spicy pepper",3.25
712,Guatemala,Los Ujuxtes,82.0,"4- B,S,C,V","fatty, sunflower, peanutbutter",3.25
713,Venezuela,"Venezuela, batch 122",72.0,"2- B,S","nut, tobacco, burnt, off notes",2.75
714,Vietnam,Vietnam,72.0,"2- B,S","raisins, astringent",3.0
715,Blend,"DUO, batch 002, Ecuador, Costa Rica",70.0,"2- B,S","floral, licorice, roasty",3.25
716,Peru,Piura,72.0,"4- B,S,C,L","muted, creamy, grapes, fatty",3.0
717,Vietnam,Mekong Delta,70.0,"4- B,S,C,L","muted, creamy, basic cocoa",3.25
718,Madagascar,Madagascar,70.0,"3- B,S,C","sweet, strong sour, acidic",3.0
719,Venezuela,Ocumare,70.0,"3- B,S,C","roasty, nutty, sweet",3.25
720,Tanzania,Tanzania,70.0,"3- B,S,C","intense, sweet, brownie",3.0
721,Ecuador,Ecuador,70.0,"3- B,S,C","bold, floral, rum",3.25
722,Bolivia,Bolivia,75.0,"3- B,S,C","mild cherry, fatty",3.25
723,Blend,West Africa,58.0,"4- B,S,C,L","nice melt, odd rubber notes",3.25
724,Ghana,Ghana,70.0,"4- B,S,C,L","vanilla, fatty, basic cocoa",2.5
725,Dominican Republic,Rainforest,70.0,"4- B,S,C,L","chalky, vanilla, caramel",2.75
726,Venezuela,Venezuela,70.0,"4- B,S,C,L","fatty, powdery, nut, sl. Burnt",2.75
727,Brazil,"Nativo, Varzea",72.0,"3- B,S,C","texture issues, brownie",3.5
728,Brazil,"Selvagem, Jari",65.0,"3- B,S,C","one dimensional, brownie",3.5
729,Uganda,Bundibugyo District,70.0,"3- B,S,C","high roast, intense, fatty",2.5
730,Madagascar,"Sambirano Valley, batch 2477",70.0,"3- B,S,C","high roast, fruit",3.0
731,Madagascar,Madagascar,66.0,"4- B,S,C,V","sandy, cloying, rich cocoa",2.5
732,Costa Rica,Costa Rica,64.0,"4- B,S,C,V","dark coffee, cocoa",3.0
733,Ecuador,Ecuador,71.0,"4- B,S,C,V","cinamon, nutmeg, coffee",3.0
734,Ghana,Ghana,60.0,"4- B,S,C,V","nutty, simple, sweet",3.0
735,Papua New Guinea,Papua New Guinea,64.0,"4- B,S,C,V","waxy, tobacco, smokey",3.0
736,Peru,Peru,64.0,"4- B,S,C,V","mild mint, basic cocoa",3.0
737,Venezuela,Venezuela,66.0,"4- B,S,C,V","fatty, rich cocoa, roasty",3.75
738,Papua New Guinea,Papua New Guinea,64.0,"4- B,S,C,V","smokey,chalky,berry,caramel",3.0
739,Dominican Republic,Elvesia,70.0,"2- B,S","metallic, dirt/ earthy",2.5
740,Dominican Republic,Duarte Province,70.0,"2- B,S","dirty, floral, unrefined",2.5
741,Dominican Republic,Duarte Province,80.0,"2- B,S","mild bitter, fatty, grassy",3.0
742,Tanzania,"Kilombero, batch 41",72.0,"2- B,S","vanilla, chemical, rubber",2.5
743,Guatemala,"Monte Grande, batch 178",72.0,"2- B,S","smokey, roasty, acidic, rich",3.0
744,Costa Rica,Costa Rica,77.0,"2- B,S","red berry, lingering coffee",3.5
745,Dominican Republic,Dominican Republic,77.0,"2- B,S","sticky, woodsy, rum",3.5
746,Bolivia,Bolivian,80.0,"2- B,S","intense fruit, bitter ending",2.75
747,Madagascar,Sambirano,80.0,"2- B,S","sandy, flat, hint of berry",2.75
748,Venezuela,Mantuano,75.0,"2- B,S","sticky, very roasty, nutty",2.75
749,Dominican Republic,La Red,74.0,"2- B,S","earthy, tart, sour",3.0
750,Ecuador,Ecuador,70.0,"2- B,S","grassy, tea, late sour",3.25
751,Bolivia,Bolivia,75.0,"2- B,S","dry, mint, medicinal",2.75
752,Ecuador,"Ecuador, Choc. Garage Exclusive",70.0,"2- B,S","oily, black pepper, roasty",3.25
753,Ecuador,Camino Verde,76.0,"2- B,S","butter, floral, rum",3.5
754,Dominican Republic,Elvesia,74.0,"2- B,S","mild fruit and spice, roasty",3.5
755,Bolivia,"Alto Beni, Wild Harvest, Limited Ed.",70.0,"2- B,S","sticky, rich, cherry",3.75
756,Vietnam,Tien Giang,78.0,"2- B,S","tropical berry, intense",3.5
757,Guatemala,Lanquin Estate,70.0,"2- B,S","blackberry, raisns",3.75
758,Brazil,"Fazenda Camboa, Bahia, batch 17009",75.0,"2- B,S","sticky, roasty nibs, grapes",3.75
759,Solomon Islands,"Solomon Is.,batch 17158, N.Vela",72.0,"2- B,S","well defined, creamy, cherry",4.0
760,Fiji,"Vanua Levu, Matasawalevu",80.0,"2- B,S","cocoa, tea, malt",3.75
761,Belize,"Maya Mtn, Toledo",72.0,"2- B,S","creamy, sticky, dried fruit",4.0
762,Madagascar,"Akesson P., Sambirano",72.0,"2- B,S","sticky, dried fruit, toast, cocoa",3.75
763,Blend,"Northerner, Madagascar and Brazil",73.0,"2- B,S","burnt honey, earthy",3.5
764,Jamaica,"Bachelor's Hall, batch 20240",75.0,"2- B,S","sl. bitter, black licorice, dried fig",3.75
765,Mexico,"Soconusco, Rayen Cacao Co-op, batch 21154",72.0,"2- B,S","dried fruit, fig, astringent, sticky",4.0
766,Madagascar,Madagascar,63.0,"3- B,S,C","sl sour, grassy, off, fatty",3.0
767,Peru,Peru,65.0,"3- B,S,C","peanut butter, dirty",2.75
768,Vietnam,Vietnam,70.0,"3- B,S,C","sweet, fatty, rancid",2.75
769,Bali,Bali,65.0,"3- B,S,C","earthy, astringent, metallic",2.5
770,Sao Tome,"Sao Tome, unroasted, batch UNR-18-003",70.0,"4- B,S,C,L","cocoa, raw, dirty, chemical",2.75
771,Sao Tome,"Sao Tome, batch OST-18-01",65.0,"4- B,S,C,L","complex, sweet, sour, grassy",3.0
772,Sao Tome,"Sao Tome, Grand Cru Plantation, amelonado",75.0,"4- B,S,C,L","late cocoa, harsh, off notes",2.5
773,Sao Tome,"Sao Tome, batch TRI-18-002, trinitario",75.0,"4- B,S,C,L","bland, fatty, fruit",3.0
774,Panama,"Panama, Raven",72.0,"3- B,S,C","mild cherry, earthy",3.25
775,Venezuela,"Puerto Cabello, Mantuano",72.0,"3- B,S,C","fatty, rasin, nutty",3.25
776,Nicaragua,Johe,72.0,"3- B,S,C","nutty, caramel, toffee",3.5
777,Venezuela,Puerto Cabello,85.0,"3- B,S,C","intense, spicy, floral",3.0
778,U.S.A.,"O'ahu Island, N. Shore, Waialua Estate",70.0,"3- B,S,C","creamy, nutty, fruity",3.75
779,Blend,Noir,70.0,"3- B,S,L","acidic, astringent, unpleasant",1.5
780,Blend,"Africa, West Africa",88.0,"3- B,S,L","sticky, floral",3.0
781,Venezuela,Sur del Lago Classificado,70.0,"2- B,S","long lasting, fruit",3.0
782,Peru,Apurimac,70.0,"2- B,S","floral, olive",3.25
783,Venezuela,Carenero Superior,70.0,"2- B,S","creamy, basic cocoa",3.5
784,Venezuela,Porcelana,70.0,"2- B,S","creamy, complex, coffee",4.0
785,Venezuela,"Ocumare 61, Puertomar",75.0,"2- B,S","sticky, smoke, ham, earthy",3.25
786,Venezuela,Granella,60.0,"2- B,S","mild spice, licorice",3.25
787,Madagascar,Madagascar,70.0,"2- B,S","fruity, basic cocoa",3.5
788,Madagascar,Madagared,70.0,"2- B,S","smooth, banana, cocoa",3.5
789,Indonesia,"Java, Javablond",70.0,"2- B,S","creamy, smokey, tobacco",3.75
790,Ecuador,Ecuador,70.0,"2- B,S","creamy, nuts, woody, cocoa",4.0
791,Venezuela,"Ocumare 67, Puertofino",70.0,"2- B,S","creamy, mint, tobacco, olive",4.0
792,Venezuela,"Carupano, H. San Jose",70.0,"2- B,S","cucumber, hot spices",3.0
793,Colombia,Teyuna,70.0,"2- B,S","creamy, woody, earthy",3.0
794,Blend,Blend No. 1,78.0,"2- B,S","sticky, grassy, coffee",3.5
795,Blend,Ilblend,70.0,"2- B,S","sticky, olive",3.75
796,Venezuela,"Chuao, Hacienda San Jose",70.0,"2- B,S","subtle, caramel, sour milk",3.0
797,Venezuela,"Canoabo, Hacienda San Jose",70.0,"2- B,S","smooth, intense, smoke, nut",3.5
798,Tanzania,Morogoro,70.0,"2- B,S","sticky, nutty",3.5
799,Venezuela,Guasare,70.0,"2- B,S","creamy, coffee, caramel",3.75
800,Venezuela,"IL100, H. San Jose, batch NDL3A01",100.0,"3- B,S,C","smooth, fruit, coffee, bitter",3.0
801,Ecuador,Hacienda Victoria,70.0,"2- B,S","floral, well developed, creamy",3.75
802,Venezuela,Ocumare 77,70.0,"2- B,S","nutty, strawberry, creamy",3.75
803,Tanzania,Tanzania,70.0,"2- B,S","creamy, sticky, fruit",4.0
804,Brazil,Brazil,70.0,"2- B,S","grassy, herbal, tea",3.5
805,Venezuela,"Rio Caribe, Batch 7",70.0,"3- B,S,C","burnt rubber, molasses",2.5
806,Colombia,"Colombia, Batch 9",80.0,"3- B,S,C","bitter,molasses,marshmallow",2.75
807,Madagascar,"Madagascar, Batch 8",77.0,"3- B,S,C","fruity, molasses",2.75
808,Grenada,Non Pariel Estate,75.0,"3- B,S*,C","licorice, molasses, rubber",2.75
809,Philippines,"Kablon Farm, batch 242",71.5,"3- B,S*,C",molasses notes from sugar,2.75
810,Guatemala,"Verapaz, batch 254",72.0,"3- B,S*,C","near perfect shine, cocoa",3.5
811,Peru,"Piura, batch 274",80.0,"2- B,S*","molasses, fruit",3.5
812,Belize,"Trio Reserve, 2020 h. batch D002",78.0,"3- B,S,C",molasses notes dominate,3.25
813,Dominican Republic,Oko Caribe,75.0,"2- B,S","dry, earthy, walnut",2.5
814,Tanzania,Kokoa Kamili,70.0,"2- B,S","dry, sour, sweet, mild fruit",2.75
815,Dominican Republic,Hispaniola,75.0,"2- B,S","dry, cocoa, grassy, spicy",3.0
816,Dominican Republic,"Zorzal, Cibao, San Francisco de Macoris",70.0,"2- B,S","tobacco, roasty, hint of fruit",3.25
817,Nicaragua,"O'Payo, Wasalala Co-op",75.0,"2- B,S","earthy, dirty",2.75
818,Haiti,Pisa,70.0,"2- B,S","rich brownie, roasty, coffee",3.25
819,Panama,Panama,70.0,"3- B,S,C",caramel and cocoa,3.5
820,Ecuador,"Corazon del Ecuador, Calceta beans",72.0,"3- B,S,C","rich cocoa, fruity, strong floral",3.75
821,Ecuador,Star of Ecuador,70.0,"3- B,S,C","chalky, bread, dirt",2.5
822,Peru,Star of Peru,70.0,"3- B,S,C","dark forest berry, spice",3.75
823,Honduras,"Indio Rojo, Xoco",72.0,"3- B,S,C","dried fruit, grapes, sour",3.75
824,Dominican Republic,Dominican Republic,65.0,"3- B,S,C","heavy roast, woody, berry",3.5
825,Panama,"Bocas del Toro, Tierra Oscura",72.0,"3- B,S,C","licorice, leathery",3.0
826,Nicaragua,"Nicaliso, Xoco",71.0,"3- B,S,C","intense, almond, coffee",3.25
827,Venezuela,Ocumare,71.0,"3- B,S,C",intense cocoa,3.5
828,Venezuela,Ocumare,72.0,"3- B,S,C","creamy, nutty",3.75
829,Nicaragua,"Chuno, Xoco",70.0,"4- B,S,C,L","sandy, full bodied, spicy",3.5
830,Nicaragua,"Rico Rugoso, Xoco",76.0,"4- B,S,C,L","black pepper, rich, intense",3.75
831,Guatemala,"Rio Dulce, Xoco",70.0,"4- B,S,C,L","intense, spicy, butterscotch",4.0
832,Nigeria,Eti-Oni,70.0,"4- B,S,C,L",candy like off flavor,2.75
833,Guatemala,Mayan Red,80.0,"4- B,S,C,L","intense earthy, cocoa, roasty",3.25
834,Philippines,South Cotabato,70.0,"4- B,S,C,L","cocoa, honey, watery, sweet",3.5
835,Nicaragua,"Juno, batch 201006",70.0,"4- B,S,C,L","fruit, holiday spice",3.5
836,Dominican Republic,"Dominican Republic, batch 1507",70.0,"2- B,S","coarse, earthy, mild banana",3.25
837,Madagascar,Madagascar,82.0,"3- B,S,C","fatty, muted",2.75
838,Peru,"Maranon, Joya Rara",70.0,"3- B,S,C","sandy, orange, butterscotch",3.5
839,Venezuela,"Rio Caribe, Tepui Treasure",70.0,"3- B,S,C","fatty, roasty, intense brownie",3.5
840,Dominican Republic,Taino Secret,70.0,"3- B,S,C","dates, acidic, rich cocoa",3.25
841,Venezuela,"Carenero, Empyrean Sabor",70.0,"3- B,S,C","cherry, earthy, tobacco",3.25
842,Ecuador,Corona Arriba,70.0,"3- B,S,C",blackberry and cinnamon,4.0
843,Peru,Piura Blanco,70.0,"3- B,S,C","smoth, dense, grape",4.0
844,Dominican Republic,Zorzal,70.0,"3- B,S,C","accidental spicy (Kulfi?), burn",3.0
845,Peru,"Peru, batch P116",70.0,"3- B,S,C","waxy, spicy, tobacco",3.25
846,Madagascar,"Madagascar, batch M132",70.0,"3- B,S,C",ultra fruity,3.5
847,Dominican Republic,"Dominican Republic, batch DR113",70.0,"3- B,S,C","spicy, cocoa",3.75
848,Colombia,Tumaco,70.0,"3- B,S,C","dried fruit, strong floral",3.25
849,Colombia,Arauca,70.0,"3- B,S,C","mild, dried fruit, chocolate",3.25
850,Peru,"Maranon, Good & Evil, w/ nibs",72.0,"3- B,S,C","buttery, burlap",2.75
851,Peru,"NOE, nacional/criollo, batch 1",80.0,"2- B,S","nutty, almond butter",3.5
852,Venezuela,Porcelana,68.0,"2- B,S","dry, gritty, cardboard, nutty",3.0
853,Madagascar,"Akessons, Sambirano Valley",70.0,"2- B,S","molasses, red fruit, astringent",3.0
854,Colombia,Tumaco,70.0,"2- B,S","cocoa, spice, alcohol, dirty",3.0
855,Bolivia,Alto Beni,71.0,"4- B,S,C,L","lemon, tart, burnt, chemical",2.75
856,Bolivia,"Alto Beni, Covendo Region",75.0,"4- B,S,C,L","nutty, rich, red berry",3.75
857,Venezuela,"Carenero Superior, Gran Saman",70.0,"5- B,S,C,V,L","gritty, chalky, earthy, sour",2.75
858,Venezuela,"Carenero Superior, Apamate",74.0,"5- B,S,C,V,L","sandy, banana, sour",2.5
859,Venezuela,"Carenero Superior, Bucare",58.0,"5- B,S,C,V,L","gritty, sweet, banana, smoke",2.5
860,Venezuela,"Carenero Superior, Mijao",61.0,"5- B,S,C,V,L","muted, cherry, banana",3.0
861,Venezuela,"Rio Caribe, Cariaco",60.5,"5- B,S,C,V,L","very sweet, marshmallow",2.75
862,Venezuela,"Rio Caribe, Macuro",70.0,"5- B,S,C,V,L","sandy,bold,cherry,peanut butter",3.0
863,Venezuela,San Joaquin,70.0,"5- B,S,C,V,L","spicy, caramel, vanilla",3.75
864,Guatemala,"Polochic, batch 711",70.0,"3- B,S,C","cocoa, fig notes",3.5
865,Tanzania,"Kokoa Kamili, 2020 harvest, batch 1574",70.0,"3- B,S,C","heavy roast, choco, coffee-like",3.5
866,Madagascar,"Lazan'ny, 2019 harvest, batch 1547",70.0,"3- B,S,C","roasty, hammy, sour",3.25
867,Belize,"Maya Mtn., 2019 harvest, batch 1573",70.0,"3- B,S,C","dried fruit, raisiny, mild roast",3.5
868,Ecuador,"Puerto Quito, 2021 harvest, batch 1560",70.0,"3- B,S,C","fatty, floral, rum, roasty",3.0
869,Dominican Republic,"Zorzal, 2021 harvest, batch 1549",70.0,"3- B,S,C","dominate roast, fruit then earthy",3.0
870,Uganda,"Semuliki, 2019 harvest, batch 1575",70.0,"3- B,S,C","simple, mild caramel, choco",3.75
871,St. Lucia,Emerald Estate,60.0,"2- B,S","low refinement, too sweet",2.75
872,St. Lucia,Emerald Estate,70.0,"2- B,S","sandy, tannic, earthy",3.25
873,Venezuela,Patanemo,79.0,"3- B,S,C","coarse, woody, roasty",3.0
874,Peru,Peru,78.0,"3- B,S,C","brownine, nutty",3.5
875,Haiti,Pisa w/ nibs,70.0,"2- B,S","simple, mild cocoa, fruit",3.5
876,Guatemala,Asochivite,70.0,"2- B,S","spicy, sweet,",3.5
877,Dominican Republic,Oko Caribe,70.0,"2- B,S","earthy, floral, cocoa",3.25
878,Madagascar,Bejofo,70.0,"2- B,S","fruity, roasty",3.5
879,Honduras,"Wampusirpi, batch 007",75.0,"2- B,S","carrots, heavy roast",3.25
880,Vietnam,"Ben Tre, batch 77",72.0,"2- B,S","intens, brownie, spicy, metal",3.0
881,Sierra Leone,Gola Rainforest,70.0,"3- B,S,C","dirty, earthy, burnt, honey",2.5
882,Tanzania,Kokoa Kamili,80.0,"3- B,S,C","fruit, dirty",3.0
883,Trinidad,"Maiden Voyage Estate, Herbert Pasqual",72.0,"3- B,S,C","muddy, raisins, nut, rubbery",3.5
884,Blend,"Terreiro Velho P., Sao Tome & Principe",80.0,"3- B,S,C","unrefined, crumbly, sweet",3.25
885,Vietnam,Ben Tre,70.0,"3- B,S,C","spicy, green, long, intense",3.25
886,Vietnam,Ham Luong,80.0,"3- B,S,C","mild bitter, smoke, hammy",3.0
887,Vietnam,"Ba Lai, Mekong Delta",74.0,"3- B,S,C","grit,smoke, wood, blackberry",3.25
888,Venezuela,Ocumare,72.0,"4- B,S,C,V","woody, cocoa",3.0
889,Costa Rica,Guapiles,65.0,"4- B,S,C,V","sticky, slight plum, medicinal",2.0
890,Venezuela,Carenero Superior,81.0,"4- B,S,C,V","hazelnut, fruit, slight bitter",3.5
891,Blend,"Carenero, Guapiles, Ocumare blend",74.0,"4- B,S,C,V","sweet, vanilla, sticky",2.75
892,Venezuela,Rio Caribe,70.0,"4- B,S,C,V","nutty, ginger, off notes",2.75
893,Blend,"Roasted Cocoa Nibs, Latin America Blend, b.060321",65.0,"3- B,S,C","sweet, too few nibs, cocoa",3.0
894,Colombia,"Arhuacos, Sierra Nevada, batch 060221",70.0,"2- B,S","mild licorice, late mocha",3.5
895,Blend,"Peru, Madagascar",55.0,"4- B,S,C,V","gritty,overyly sweet,fruit punch",2.5
896,Trinidad,Trinidad,55.0,"4- B,S,C,V","grits, very sweet, banana",2.5
897,Venezuela,Porcelana,70.0,"4- B,S,C,V","strong vanilla, strawberry, nut",2.5
898,Blend,Red Vanilla,62.0,"4- B,S,C,V","sweet, vanilla, mild banana",2.75
899,Blend,"Venezuela, Trinidad",62.0,"4- B,S,C,V","gritty, sweet, vanilla, woody",2.5
900,Belize,Belize,80.0,"3- B,S,C","mild fruit, earthy",3.0
901,Ecuador,Ecuador,80.0,"3- B,S,C","spicy, roasty, mild bitter",3.5
902,Dominican Republic,Dominican Republic,80.0,"3- B,S,C","coarse, mild bitter, raisin",3.75
903,Guatemala,Guatemala,80.0,"3- B,S,C",prominent plum note,3.5
904,Uganda,Uganda,70.0,"3- B,S,C","sandy, basic cocoa, sweet",3.0
905,Peru,"Maranon, Fortunato",73.0,"3- B,S,C",dominated by heavy roast,3.0
906,Brazil,"Monte Alegre, D. Badaro, Raw, Organic",75.0,"2- B,S","perfume, floral, vanilla",2.75
907,Jamaica,Blue Mountain,76.0,"2- B,S","roasty, spicy, nutty",3.0
908,Venezuela,Cuyagua,76.0,"2- B,S","fatty, sandy, nutty, off notes",2.5
909,Belize,Maya Mountain,76.0,"2- B,S","metallic, off notes, powdery",2.75
910,Madagascar,"Madagascar, Grand Cru",64.0,"5- B,S,C,V,L","basic cocoa, short length",3.0
911,Venezuela,Maracaibo Clasificado,65.0,"5- B,S,C,V,L","creamy, floral, complex",3.0
912,Ecuador,Arriba,72.0,"5- B,S,C,V,L","fatty, rich, spice, nutty",3.5
913,Bolivia,"Alto Beni, Cru Savage",68.0,"5- B,S,C,V,L","complex, raspberry, cocoa",4.0
914,Blend,Supremo- SF,62.0,"5- B,S,C,V,L","malitol, cocoa",2.0
915,Dominican Republic,Elvesia P.,74.0,"5- B,S,C,V,L","creamy, roasty, cocoa",3.0
916,Grenada,Grenada,58.0,"5- B,S,C,V,L","spicey, marshmallow",3.5
917,Puerto Rico,Puerto Rico,65.0,"3- B,S,C","intense, molasses, sweet",2.25
918,Dominican Republic,Dominican Republic,80.0,"3- B,S,C","molasses, licorice, bitter",3.0
919,Dominican Republic,Dominican Republic,70.0,"3- B,S,C","sandy, sweet, mild fruit",3.25
920,Dominican Republic,Dominican Republic,85.0,"3- B,S,C","intense, molasses, bitter",2.5
921,Honduras,Honduras,70.0,"3- B,S,C","off, hammy, roasty",2.75
922,Mexico,Mexico,70.0,"3- B,S,C","banana, bland, sour, off",3.0
923,Colombia,"Chigorodo, batch 001",70.0,"3- B,S,C","nutty, melon, vinegar",2.75
924,Blend,"Ucayali (Peru), Papua New G., Tabasco (Mexico)",70.0,"3- B,S,C","fruit, cocoa, fatty",3.25
925,Papua New Guinea,Karkar Island,72.0,"4- B,S,C,L","caramel, acidic, creamy",3.5
926,Philippines,Mindanao Island,73.0,"4- B,S,C,L","creamy, honey, mild hammy",3.25
927,Solomon Islands,Guadalcanal,69.0,"4- B,S,C,L","plums, cocoa",3.5
928,Vanuatu,Malekula Island,72.0,"4- B,S,C,L","cherry, cocoa, creamy",3.75
929,Dominican Republic,"Oko Caribe, San Fran. De Mac.,batch A",75.0,"2- B,S","roasty, simple",3.5
930,Belize,"Maya Mtn, batch 7C",75.0,"2- B,S","hammy, dried fruit",2.75
931,Guatemala,"Monte Grande, batch 18",75.0,"2- B,S","hammy, large grits",2.75
932,Colombia,"Tumaco, batch 23abc",75.0,"2- B,S","high acidity, bitter, nutty",3.0
933,Madagascar,Bejofo,70.0,"3- B,S,C","molasses, sour notes",3.0
934,India,Goground,68.0,"3- B,S,C","muted, mild sweet cocoa",3.5
935,Tanzania,Kokoa Kamili,70.0,"3- B,S,C","fruit, spicy mild molasses",3.5
936,Peru,Rio Eni,72.0,"3- B,S*,C","coconut, true to sugar bar",2.75
937,Dominican Republic,Dominican Republic,70.0,"6- B,S,C,V,L,Sa","strong vanilla, earthy, nutty",2.75
938,Dominican Republic,Puerto Rico,80.0,"6- B,S,C,V,L,Sa","vanilla, dried fruit, nuts",2.75
939,Madagascar,"Akesson's E., Sambirano V.",70.0,"2- B,S","gummy, bland, sour",2.75
940,Ecuador,"Camino Verde P., Balao, Guayas",75.0,"2- B,S","sticky, floral",3.5
941,Tanzania,"Kokoa Kamili Coop, Kilombero",67.0,"2- B,S","gummy, sandy, complex",3.75
942,Bolivia,Alto Beni,70.0,"2- B,S","nuts, sour milk",3.0
943,Indonesia,"Pak Eddy Farm, Yogyakarta Region",70.0,"2- B,S","sandy, powdery, late sour",3.0
944,Philippines,Davao,70.0,"2- B,S","sandy, dried fruit, roasty",3.25
945,Haiti,Pisa,68.0,"2- B,S","roasty, hazelnut, cocoa",3.5
946,Dominican Republic,Oko Caribe,72.0,"2- B,S","coffee, acidic, astringent",2.75
947,Mexico,"Finca La Rioja E., Cacahoatan, Chiapas, microlot",70.0,"2- B,S","sticky, dried sour fruit, roasty",3.0
948,Madagascar,"Ottange Farm, Mava Plantation, Sambirano",70.0,"2- B,S","roasted nuts, citrus, creamy",3.5
949,Indonesia,"Burang, Popayato-Paquat microlot, Goranulo Province",72.0,"2- B,S","dried fruit (fig), black licorice",3.5
950,Malaysia,"Semai Community, Kamping Long B, Pahang",72.0,"2- B,S","dairy, cocoa, mild sour",3.5
951,Papua New Guinea,"Kulkul P., Karkar Island, 2018 h., batch PK019",70.0,"2- B,S","off, tropical, vegetal, rubbery",3.0
952,Tanzania,"Kilombero Valley, 2017 h., batch TK020",70.0,"2- B,S","nutty, bland, late sour",3.25
953,Bolivia,"Alto Beni, 2017 h.",70.0,"2- B,S","honey, mild floral, mild off",3.0
954,Vanuatu,"Masidau Farm, batch VM021",70.0,"2- B,S","fruit, smokey, mocha",3.0
955,Colombia,"Tumaco, 2017 h., batch U022",70.0,"2- B,S","dirty, roasty, acidic",3.0
956,Ecuador,"Camino Verde, 2017 h., batch EC019",70.0,"2- B,S","floral, orange, cocoa",3.75
957,Peru,"Ucayali, 2017 h., batch PU024",70.0,"2- B,S","fig, mild anise",3.75
958,Venezuela,Canoabo,70.0,"3- B,S,C","nutty, dried fruit",3.75
959,Venezuela,Sur del Lago,60.0,"3- B,S,C","grits, hazelnut, rum",3.5
960,Venezuela,"Choroni, batch 210414",70.0,"3- B,S,C","intense, tobacco, nuts",3.5
961,Venezuela,"Ocumare, batch 210414",70.0,"3- B,S,C","caramel, dairy",3.75
962,Venezuela,Rio Caribe,60.0,"4- B,S,C,L","large grits, sweet",2.5
963,Venezuela,"Sur del Lago, Zulia",70.0,"3- B,S,C",large grits,3.0
964,Venezuela,"Carenero, Miranda",70.0,"3- B,S,C","dried fruit, large grits",3.25
965,Venezuela,"Cuyagua, batch 4, lot DC2.3",72.0,"2- B,S",nutty,3.5
