,REF,bar_name,company,cocoa_%,ingredients,rating
359,1638,Ecuador,Britarev,70.0,"2- B,S",3.25
360,1181,Dominican Republic,Bronx Grrl Chocolate,68.0,"3- B,S,C",2.75
361,2052,"Alto Beni, No.2, Batch 17, 2016",Bullion,70.0,"3- B,S,C",2.5
362,2052,"Lanquin, No.3, Batch 21, 2016",Bullion,70.0,"3- B,S,C",3.0
363,1299,"Trinidad, batch 05050114",Burnt Fork Bend,72.0,"3- B,S,C",3.25
364,1299,"Mindo, batch 01040914",Burnt Fork Bend,72.0,"3- B,S,C",3.5
365,1303,Belize,Burnt Fork Bend,72.0,"3- B,S,C",3.25
366,1303,Blend,Burnt Fork Bend,72.0,"3- B,S,C",3.25
367,1323,"Ecuador, Bob Bar",Burnt Fork Bend,60.0,"3- B,S,C",2.5
368,2314,Ecuador,By Cacao,70.0,"2- B,S",3.0
369,2274,Pingtung,Cacai Cacao,70.0,"2- B,S*",3.25
370,2274,Davao,Cacai Cacao,70.0,"2- B,S*",3.5
371,2266,Asochivite,Cacao 70,70.0,"4- B,S,C,L",3.5
372,2266,Beniano,Cacao 70,70.0,"4- B,S,C,L",3.75
373,2330,"Monte Grande, lot 001180312",Cacao 70,70.0,"4- B,S,C,L",3.0
374,1606,Puerto Rico,Cacao Arabuco,70.0,"2- B,S",2.5
375,502,"Dominican Republic, ""Love Bar""",Cacao Atlanta,75.0,"2- B,S",2.5
376,502,Dominican Republic w/ nibs,Cacao Atlanta,75.0,"2- B,S",2.75
377,600,Patanemo,Cacao Atlanta,75.0,"2- B,S",2.25
378,1215,Tumbes,Cacao Atlanta,75.0,"2- B,S",2.5
379,141,Venezuela,Cacao Barry,72.0,"5- B,S,C,V,L",2.0
380,147,Mexico,Cacao Barry,66.0,"5- B,S,C,V,L",3.0
381,300,Tanzania,Cacao Barry,75.0,"5- B,S,C,V,L",2.0
382,586,Santo Domingo,Cacao Barry,70.0,"5- B,S,C,V,L",3.0
383,1716,Grand 'Anse,Cacao Barry,65.0,"5- B,S,C,V,L",3.5
384,2226,"H. Betulia, Antioquia, B8",Cacao Betulia,72.0,"2- B,S",2.5
385,2226,"H. Betulia, Antioquia, B6",Cacao Betulia,72.0,"2- B,S",3.75
386,2230,"H. Betulia, Antioquia, B9",Cacao Betulia,72.0,"2- B,S",3.0
387,1391,"Agua Fria; Sucre region, H. La Trinidad",Cacao de Origen,75.0,"2- B,S",2.5
388,1391,"Macuare; Miranda; Chloe formula, H. La Trinidad",Cacao de Origen,74.0,"2- B,S",3.25
389,1391,"Chuao, Aragua region, H. La Trinidad",Cacao de Origen,75.0,"2- B,S",3.5
390,1395,"Chuao, Aragua region, H. La Trinidad",Cacao de Origen,70.0,"2- B,S",3.75
391,1668,Hacienda la Trinidad,Cacao de Origen,74.0,"2- B,S",3.25
392,1688,Chuao,Cacao de Origen,77.0,"2- B,S",3.5
393,1692,Rio Caribe,Cacao de Origen,75.0,"2- B,S",3.25
394,2238,Carupano Pintao,Cacao de Origen,75.0,"2- B,S",2.75
395,2278,"Barlovento, Familia Rojas",Cacao de Origen,75.0,"2- B,S",2.5
396,2278,Canoabo,Cacao de Origen,70.0,"2- B,S",3.0
397,2076,Chuao,Cacao Gonzales,70.0,"2- B,S",3.0
398,1430,Sierra Nevada,Cacao Hunters,64.0,"4- B,S,C,L",3.5
399,1430,Tumaco,Cacao Hunters,70.0,"4- B,S,C,L",3.5
400,1434,"Boyaca, Aprocampa Coop, Pauna",Cacao Hunters,69.0,"4- B,S,C,L",2.75
401,1434,Arauca,Cacao Hunters,70.0,"4- B,S,C,L",3.25
402,1662,Arhuacos,Cacao Hunters,72.0,"3- B,S,C",3.75
403,1816,Macondo,Cacao Hunters,71.0,"3- B,S,C",3.75
404,1816,Perla Negra,Cacao Hunters,74.0,"3- B,S,C",3.75
405,1860,"Jutiapa, lot 050916D",Cacao Market,70.0,"4- B,S,C,L",3.5
406,641,"Dominican Republicm, rustic",Cacao Prieto,72.0,"2- B,S",3.0
407,641,Dominican Republic,Cacao Prieto,66.0,"2- B,S",3.75
408,647,"Dominican Republic, rustic",Cacao Prieto,65.0,"2- B,S",3.25
409,991,"Criollo, Dominican Republic",Cacao Prieto,72.0,"2- B,S",3.75
410,336,"Porcelana, Tabasco, La Joya",Cacao Sampaka,70.0,"4- B,S,C,L",4.0
411,346,"Xoconusco, Chiapas, cacao Real",Cacao Sampaka,70.0,"4- B,S,C,L",4.0
412,508,Madagascar,Cacao Sampaka,71.0,"4- B,S,C,L",3.5
413,523,Ecuador,Cacao Sampaka,71.0,"4- B,S,C,L",3.75
414,523,Papua,Cacao Sampaka,71.0,"4- B,S,C,L",4.0
415,537,Grenada,Cacao Sampaka,71.0,"4- B,S,C,L",3.25
416,537,Venezuela,Cacao Sampaka,71.0,"4- B,S,C,L",3.5
417,537,Venezuela,Cacao Sampaka,77.0,"4- B,S,C,L",3.5
418,1908,"Mahali, Kasai",Cacao Sampaka,70.0,"4- B,S,C,L",3.5
419,2510,"Zorzal Reserve, Hispaniola, batch 239",Cacao Santa Fe (Art of Chocolate),72.0,"4- B,S,C,V",2.75
420,2510,Ucayali,Cacao Santa Fe (Art of Chocolate),72.0,"4- B,S,C,V",2.75
421,2510,Costa Esmeraldas,Cacao Santa Fe (Art of Chocolate),72.0,"4- B,S,C,V",3.0
422,1684,Madagascar,Cacao Store,70.0,"2- B,S",3.0
423,1684,Peru,Cacao Store,70.0,"2- B,S",3.25
424,1684,Vietnam,Cacao Store,70.0,"2- B,S",3.5
425,2084,Ghana,Cacaodada,70.0,"3- B,S,C",3.0
426,2084,Dominican Republic,Cacaodada,70.0,"3- B,S,C",3.25
427,2084,Ecuador,Cacaodada,70.0,"3- B,S,C",3.5
428,2610,Chuncho-Cuzco,Cacaosuyo,70.0,"2- B,S",3.5
429,2610,Piura Select,Cacaosuyo,70.0,"2- B,S",4.0
430,2614,"Lakuna, Amazonas, silvestre",Cacaosuyo,70.0,"2- B,S",3.5
431,2614,Cuzco,Cacaosuyo,80.0,"2- B,S",3.5
432,237,Amazonia,Cacaoyere (Ecuatoriana),63.0,"4- B,S,C,L",3.5
433,237,Esmeraldas,Cacaoyere (Ecuatoriana),71.0,"4- B,S,C,L",3.5
434,245,Bolivar,Cacaoyere (Ecuatoriana),82.0,"4- B,S,C,L",2.5
435,259,Pichincha,Cacaoyere (Ecuatoriana),91.0,"4- B,S,C,L",1.5
436,141,Baking,Callebaut,70.0,"3- B,S,C",1.0
437,296,Grenade,Callebaut,60.0,"3- B,S,C",2.75
438,749,Sao Tome,C-Amaro,78.0,"2- B,S",2.25
439,765,Trinidad,C-Amaro,70.0,"2- B,S",2.5
440,809,Venezuela,C-Amaro,80.0,"2- B,S",3.0
441,1185,Ecuador,C-Amaro,100.0,1- B,3.5
442,1442,Cuba,C-Amaro,75.0,"2- B,S",2.5
443,1442,Dominican Republic,C-Amaro,72.0,"2- B,S",3.0
444,1442,"Lago di Como, Blu",C-Amaro,70.0,"2- B,S",3.5
445,1804,Porcelana,Cao,75.0,"3- B,S,C",2.5
446,1804,Tanzania,Cao,73.0,"3- B,S,C",2.75
447,1804,"Porcelana, Batch 5163",Cao,70.0,"3- B,S,C",3.0
448,1808,Bolivia,Cao,75.0,"3- B,S,C",3.0
449,1808,Brazil,Cao,70.0,"3- B,S,C",3.25
450,2558,Arauca,Caofiori,70.0,"4- B,S,C,L",3.25
451,2558,Tumaco,Caofiori,70.0,"4- B,S,C,L",3.25
452,2558,Choco,Caofiori,70.0,"4- B,S,C,L",3.5
453,2558,Meta,Caofiori,70.0,"4- B,S,C,L",3.75
454,237,Esmeraldas,Caoni (Tulicorp),77.0,"4- B,S,C,L",2.0
455,237,Manabi,Caoni (Tulicorp),77.0,"4- B,S,C,L",2.5
456,245,Los Rios,Caoni (Tulicorp),77.0,"4- B,S,C,L",2.75
457,266,Manabi,Caoni (Tulicorp),55.0,"4- B,S,C,L",3.0
458,269,Los Rios,Caoni (Tulicorp),55.0,"4- B,S,C,L",3.25
459,269,Esmeraldas,Caoni (Tulicorp),55.0,"4- B,S,C,L",3.5
460,1263,"Saidor Estate, Madang P.",Captain Pembleton,70.0,"3- B,S,C",3.5
461,1263,Kulili Estate,Captain Pembleton,70.0,"3- B,S,C",3.75
462,2626,"La Colonia, batch 5",CAR Artisan,70.0,"3- B,S,C",3.0
463,2626,"Kokoa Kamili, batch 9",CAR Artisan,70.0,"3- B,S,C",3.25
464,2630,"Ucayali, batch 12",CAR Artisan,70.0,"3- B,S,C",3.25
465,2630,"Soconusco, batch 2",CAR Artisan,70.0,"3- B,S,C",3.25
466,841,Costa Rica,Caribeans,72.0,"2- B,S",3.0
467,845,Costa Rica,Caribeans,80.0,"2- B,S",2.75
468,1582,"Antigua, Special Reserve",Caribeans,72.0,"3- B,S,C",3.5
469,1586,"Talamanca, Raul-Kekoldo community",Caribeans,72.0,"2- B,S",3.25
470,1586,Anselmo Paraiso Estate,Caribeans,72.0,"2- B,S",3.5
471,1884,Arauca,Carlotta Chocolat,65.0,"3- B,S,C",3.0
472,1888,Tumaco,Carlotta Chocolat,65.0,"3- B,S,C",3.25
473,1888,Cordoba,Carlotta Chocolat,65.0,"3- B,S,C",3.25
474,1888,Huila,Carlotta Chocolat,65.0,"3- B,S,C",3.5
475,1888,"Cesar, CCN51",Carlotta Chocolat,65.0,"3- B,S,C",3.5
476,2154,"Ecuador, Vietnam",Casa,75.0,"2- B,S",2.0
477,2394,"Fazenda Camboa, Bahia, 2018",Casa Lasevicius,71.0,"2- B,S",3.0
478,2402,"Amazon Forest, 2018",Casa Lasevicius,65.0,"2- B,S",3.25
479,1101,"Bolivia, batch 166",Castronovo,70.0,"3- B,S,C",3.0
480,1101,"Conacado, batch 161",Castronovo,73.0,"2- B,S",3.5
481,1105,"San Martin, batch 155",Castronovo,70.0,"3- B,S,C",2.5
482,1105,"Guaniamo, Amazonas, batch 159",Castronovo,70.0,"3- B,S,C",3.25
483,1109,"Nicaragua, batch 164",Castronovo,72.0,"3- B,S,C",3.25
484,1153,"Tumbes, batch 176",Castronovo,70.0,"3- B,S,C",2.75
485,1153,"Guaniamo, batch 173",Castronovo,72.0,"3- B,S,C",3.0
486,1347,"Sierra Nevada, batch 1",Castronovo,72.0,"3- B,S,C",3.5
487,1371,"Arauca, batch 280",Castronovo,76.0,"3- B,S,C",3.5
488,1407,Elvesia P.,Castronovo,70.0,"3- B,S,C",2.75
489,1570,"the lost city, gracias a dias, batch 362",Castronovo,72.0,"3- B,S,C",3.5
490,1570,"Duarte, Batch 360",Castronovo,70.0,"3- B,S,C",3.75
491,1574,"Piaroa, Amazonas, Batch 350",Castronovo,72.0,"3- B,S,C",3.5
492,1724,"Maya Mtn, Batch 454, Heirloom",Castronovo,72.0,"3- B,S,C",4.0
493,1956,"Patanemo, batch 539",Castronovo,70.0,"2- B,S",3.25
494,2314,"Xoconusco, criollo, batch 834",Castronovo,70.0,"3- B,S,C",3.75
495,2354,Puerto Rico,Castronovo,70.0,"3- B,S,C",3.5
496,2554,"Valle de Los Rios, batch 990",Castronovo,70.0,"3- B,S,C",4.0
497,2688,"Chuao, batch 1089",Castronovo,72.0,"3- B,S,C",4.0
498,2736,"Baracoa, Guantanamo Province, (72% Beans)",Cedric de Taeye,72.0,"3- B,S,C",3.0
499,2740,"Ambanja, 2018 harvest (74% Beans)",Cedric de Taeye,74.0,"3- B,S,C",2.75
500,2740,"Gran Couva, 2018 harvest (75% Beans)",Cedric de Taeye,75.0,"3- B,S,C",2.5
501,1247,Ecuador,Cello,70.0,"3- B,S,C",2.5
502,1247,Peru,Cello,70.0,"3- B,S,C",2.75
503,1251,Venezuela,Cello,70.0,"3- B,S,C",2.75
504,1251,Bolivia,Cello,70.0,"3- B,S,C",3.0
505,404,Equateur,Cemoi,72.0,"3- B,S,C",2.75
506,1426,Uganda,Chaleur B,70.0,"3- B,S,C",2.75
507,2672,"Ambanja, Sambirano Valley",Chaleur B,70.0,"3- B,S,C",3.0
508,2676,Maya Mountain,Chaleur B,70.0,"3- B,S,C",3.0
509,2676,"Maranon, nano-lot #709, bar# 371",Chaleur B,72.0,"3- B,S,C",3.25
510,2028,"Beni, Cru Sauvage",Chapon,74.0,"2- B,S",3.0
511,2238,"San Esteban (Chloe, Maria, Patrice)",Chapon,68.0,"3- B,S,C",3.5
512,1900,Maya Mtn,Charm School,70.0,"3- B,S,C",3.25
513,252,Los Rios,Chchukululu (Tulicorp),75.0,"3- B,S,C",3.0
514,486,Arriba,Chchukululu (Tulicorp),55.0,"3- B,S,C",2.75
515,1235,la Amistad,Chequessett,70.0,"3- B,S,C",3.5
516,2202,Ucayali River,Chequessett,72.0,"3- B,S,C",3.0
517,2422,Costa Esmeraldas,Chequessett,72.0,"3- B,S,C",3.5
518,2668,Tumaco Narino,Chequessett,83.0,"3- B,S,C",3.25
519,2668,"Dominican Republic, ""Provincetown Dark""",Chequessett,69.0,"3- B,S,C",3.25
520,672,Blend No. 1,Chloe Chocolat,70.0,"3- B,S,C",3.5
521,1454,Ecuador,Chocablog,70.0,"3- B,S,C",3.25
522,1407,Maya Mountain w/ nibs,Choco Del Sol,75.0,"2- B,S",3.0
523,1407,Maya Mountain,Choco Del Sol,82.0,"2- B,S",3.25
524,1696,"Mekong Delta, early 2014 Harvest",Choco Dong,70.0,"2- B,S",2.75
525,1696,"Tawau, Oct. 2015 Harvest",Choco Dong,70.0,"2- B,S",3.5
526,2298,La Dalia,Chococard (Lapos),72.0,"3- B,S,C",2.5
527,2298,Zorzal,Chococard (Lapos),71.0,"3- B,S,C",3.25
528,1482,"Peru, batch C7",Chocolarder,65.0,"2- B,S",2.5
529,1482,"Peru + nibs, batch C6",Chocolarder,65.0,"2- B,S",2.75
530,1514,"Dominican Republic, batch 5",Chocolarder,80.0,"2- B,S",2.5
531,2442,"Ottange Farm, Mava P., Ramena River, Sambirano",Chocolarder,74.0,"2- B,S",3.0
532,647,Madagascar,Chocola'te,70.0,"2- B,S",3.75
533,647,Venezuela,Chocola'te,68.0,"2- B,S",3.75
534,1772,"Tumbes, ""Zarumilla""",Chocolate Alchemist-Philly,90.0,"2- B,S*",2.5
535,1772,"Philly Blend, 5 plantations",Chocolate Alchemist-Philly,80.0,"2- B,S*",2.5
536,1760,Wild Bolivian,Chocolate Con Amor,70.0,"2- B,S",2.5
537,1760,Uganda,Chocolate Con Amor,70.0,"2- B,S",2.75
538,1764,Dominican Republic,Chocolate Con Amor,60.0,"2- B,S",3.0
539,1764,Dominican Republic,Chocolate Con Amor,75.0,"2- B,S",3.0
540,1764,Ocumare,Chocolate Con Amor,80.0,"2- B,S",3.0
541,1764,Ecuador,Chocolate Con Amor,70.0,"2- B,S",3.25
542,1768,Nicaragua,Chocolate Con Amor,80.0,"2- B,S",2.75
543,1259,Peru,Chocolate Conspiracy,74.0,"3- B,S*,C",2.75
544,1530,Tres Hombres,Chocolate Makers,75.0,"3- B,S,C",3.25
545,1530,"Congo, Gorilla bar",Chocolate Makers,68.0,"3- B,S,C",3.5
546,1530,"Peru, Awagum bar",Chocolate Makers,80.0,"3- B,S,C",3.75
547,919,Ecuador,Chocolate Tree,82.0,"3- B,S,C",2.5
548,919,Peru,Chocolate Tree,68.0,"3- B,S,C",2.75
549,919,Madagascar,Chocolate Tree,72.0,"3- B,S,C",3.25
550,1121,Peru,Chocolate Tree,70.0,"2- B,S",3.75
551,1582,Maranon,Chocolate Tree,69.0,"3- B,S,C",3.75
552,1582,Carenero Superior,Chocolate Tree,80.0,"2- B,S",3.75
553,2700,Chuao,Chocolate Tree,70.0,"3- B,S,C",2.75
554,2134,Zorzal,Chocolates by Josh (Box Chocolate),72.0,"3- B,S,C",3.25
555,2294,"Idukki Hills, GoGround, batch 0089",Chocolatoa,70.0,"3- B,S,C",3.0
556,1219,Xoconusco,Chocolats Privilege,70.0,"4- B,S,C,V",2.5
557,2080,"Anamalai, Tamil Nadu",Chocolibrium,63.0,"3- B,S,C",2.5
558,2080,"Monte Grande Plantation, Coatepeque",Chocolibrium,76.0,"2- B,S",2.75
559,2080,Ucayali,Chocolibrium,70.0,"2- B,S",2.75
560,1454,Patanemo,ChocoReko,77.0,"3- B,S,C",3.0
561,682,"Chiapas, Lacandon Jungle, Oaxacom Mtn",Chocosol,65.0,"3- B,S,C",3.25
562,1832,"Chiapas, Lacandon Jungle, Oaxacom Mtn",Chocosol,75.0,"3- B,S,C",3.25
563,2594,"Chivite, Cahabon River",Chocotenango,70.0,"2- B,S",3.25
564,2594,"Maya Mountain, Toledo",Chocotenango,70.0,"2- B,S",3.5
565,2598,Duarte,Chocotenango,73.0,"2- B,S",3.25
566,117,"Bolivar, Guaranda",Chocovic,71.0,"4- B,S,C,L",2.5
567,117,Guyave,Chocovic,71.0,"4- B,S,C,L",2.5
568,117,Maragda,Chocovic,70.0,"4- B,S,C,L",3.0
569,209,Ocumare,Chocovic,71.0,"4- B,S,C,L",3.5
570,439,Kendari,Chocovic,60.0,"4- B,S,C,L",3.25
571,439,Tarakan,Chocovic,75.0,"4- B,S,C,L",3.25
572,478,Xoconusco,Chocovic,71.0,"4- B,S,C,L",3.25
573,478,Sambirano,Chocovic,71.0,"4- B,S,C,L",3.5
574,1522,Tabasco,Chocovivo,65.0,"2- B,S",2.5
575,1522,Tabasco,Chocovivo,75.0,"2- B,S",2.5
576,377,Ocumare,Choklat,80.0,"4- B,S,C,V",2.5
577,377,"Porcelana, Tabasco",Choklat,70.0,"4- B,S,C,V",2.75
578,377,Brazilian,Choklat,70.0,"4- B,S,C,V",3.0
579,377,Brazilian,Choklat,80.0,"4- B,S,C,V",3.0
580,377,Ocumare,Choklat,70.0,"4- B,S,C,V",3.0
581,2514,"Chuao w/ nibs, 2017-2018 harvest, Batch 9",Chokola,75.0,"2- B,S",3.75
582,2514,"Bejofo, 2019 H., Batch 20",Chokola,67.0,"2- B,S",4.0
583,2534,"Verapaz, 2017 harvest, Batch 14",Chokola,70.0,"2- B,S",3.5
584,2534,"Maya Mountain, 2017 harvest, Batch 11",Chokola,70.0,"2- B,S",3.75
585,2638,"Kokoa Kamili, harvest 2018",Chokola,75.0,"2- B,S",3.5
586,2638,"Wild Tranquilidad, harvest 2018, batch 9",Chokola,75.0,"2- B,S",3.75
587,1149,Guadeloupe,Chokolat Elot (Girard),42.0,"4- B,S,V,L",2.75
588,2250,"Ucayali, batch 1",Christophe Toury,70.0,"2- B,S",2.75
589,2226,Ucayali,Christopher Elbow,75.0,"3- B,S,C",3.75
590,2306,Oko Caribe,Christopher Elbow,72.0,"3- B,S,C",3.75
591,2310,"Hacienda Azul, 2017 harvest",Christopher Elbow,70.0,"3- B,S,C",3.25
592,2310,"Camino Verde, 2017 harvest",Christopher Elbow,73.0,"3- B,S,C",3.5
593,2310,"Kokoa Kamili, 2017 harvest",Christopher Elbow,72.0,"3- B,S,C",3.5
594,2310,"Fazenda Camboa, 2017 harvest",Christopher Elbow,70.0,"3- B,S,C",4.0
595,2314,"Vietnam, Marou 2017 harvest",Christopher Elbow,72.0,"3- B,S,C",3.0
596,666,"Maranon Canyon, Fortunato No. 4",Christopher Morel (Felchlin),68.0,"3- B,S,C",3.75
597,445,Choroni,Chuao Chocolatier,61.0,"5- B,S,C,V,L",3.0
598,486,Chuao,Chuao Chocolatier (Pralus),77.0,"3- B,S,C",2.75
599,209,Terreiro Velho P. w/ sugar crystals,Claudio Corallo,80.0,"3- B,S,C",3.0
600,227,"Terreiro Velho P., Sao Tome & Principe",Claudio Corallo,75.0,"3- B,S,C",3.75
601,252,"Principe, Sao Tome & Principe",Claudio Corallo,100.0,"3- B,S,C",1.0
602,470,"Terreiro Velho P., Sao Tome & Principe",Claudio Corallo,73.5,"2- B,S",3.75
603,2630,Oko Caribe,Cleveland Chocolate Company,70.0,"3- B,S,C",3.5
604,2630,Pisa,Cleveland Chocolate Company,79.0,"3- B,S,C",3.5
605,1486,"Camino Verde P., Balao, Guayas, 2014, batch 1",Cloudforest,73.0,"2- B,S",3.5
606,2474,Ucayali,Coco,70.0,"3- B,S,C",3.5
607,2402,St. Lucia,Cocoa Carib,70.0,"4- B,S,C,V",2.25
608,2606,"Maranon, batch 244PEmaD",Cocoa Forge,68.0,"3- B,S,C",3.0
609,2606,"Sambirano, batch 236MAsaD77",Cocoa Forge,77.0,"2- B,S",3.25
610,2606,"Tumaco, batch 227COtm",Cocoa Forge,70.0,"3- B,S,C",3.25
611,292,Carenero Superior,Compania de Chocolate (Salgado),80.0,"3- B,S,C",2.75
612,292,Moxos,Compania de Chocolate (Salgado),72.0,"3- B,S,C",3.25
613,292,Ocumare,Compania de Chocolate (Salgado),70.0,"3- B,S,C",3.75
614,296,Esmeraldas,Compania de Chocolate (Salgado),88.0,"3- B,S,C",2.75
615,579,Sur del Lago,Compania de Chocolate (Salgado),70.0,"3- B,S,C",3.25
616,1630,Camino Verde,Condor,76.0,"2- B,S",3.5
617,1916,"Tien Giang, 2015, batch 10-2-16",Confluence,78.0,"2- B,S",2.75
618,2684,Ucayali,Conjure,68.0,"3- B,S,C",3.25
619,2688,Malah Na Bulong,Conjure,70.0,"3- B,S,C",2.5
620,2688,"Ivory Coast, Rainforest Alliance, batch 7",Conjure,70.0,"3- B,S,C",2.5
621,2688,Kokoa Kamili,Conjure,75.0,"3- B,S,C",3.5
622,196,"Sambirano, Menava P.",Coppeneur,72.0,"3- B,S,C",3.0
623,220,"Porcelana, Tabasco, Mexico",Coppeneur,72.0,"3- B,S,C",3.0
624,220,"Porcelana, Venezuela",Coppeneur,72.0,"3- B,S,C",3.0
625,341,"Porcelana, Apotequil",Coppeneur,72.0,"3- B,S,C",3.0
626,445,"Porcelana, Apotequil",Coppeneur,62.0,"3- B,S,C",3.25
627,451,Chuao 100hr,Coppeneur,70.0,"3- B,S,C",3.5
628,451,Chuao 70hr,Coppeneur,70.0,"3- B,S,C",3.75
629,470,Grenada,Coppeneur,72.0,"3- B,S,C",3.25
630,478,Chuao,Coppeneur,70.0,"3- B,S,C",3.0
631,558,"Los Rios, H. Iara",Coppeneur,72.0,"3- B,S,C",2.5
632,558,Trinidad,Coppeneur,72.0,"3- B,S,C",3.0
633,558,Jamaica,Coppeneur,72.0,"3- B,S,C",3.25
634,558,Ocumare 61,Coppeneur,72.0,"3- B,S,C",3.25
635,813,Ghana Puristique,Coppeneur,85.0,"3- B,S,C",3.5
636,817,Ecuador Puristique,Coppeneur,100.0,"3- B,S,C",1.5
637,821,"Uba Budo, Sao Tome & Principe",Coppeneur,72.0,"3- B,S,C",3.75
638,959,Madagascar,Coppeneur,70.0,"3- B,S,C",3.5
639,1169,"Ecuador, Puristique",Coppeneur,65.0,"4- B,S,C,L",3.25
640,1984,Ghana,Coppeneur,75.0,"3- B,S,C",3.75
641,48,Sensations Intense,Cote d' Or (Kraft),70.0,"3- B,S,C",1.0
642,971,"Tanzania, batch a1",Cravve,75.0,"3- B,S,C",3.25
643,975,"Bahia, batch a1213",Cravve,65.0,"3- B,S,C",3.25
644,975,"Namau Village, N. Taileva P., batch a2812",Cravve,67.0,"3- B,S,C",3.25
645,975,"Vanuatu, batch 2410",Cravve,64.0,"3- B,S,C",3.25
646,975,"Djual Island, batch 1712",Cravve,75.0,"3- B,S,C",3.5
647,1283,"New Ireland, batch 1702",Cravve,70.0,"3- B,S,C",2.5
648,1335,"Vanuatu, batch 2410",Cravve,83.0,"3- B,S,C",2.75
649,1736,"heirloom, Arriba Nacional",Creo,85.0,"3- B,S,C",3.25
650,1736,"heirloom, Arriba Nacional",Creo,73.0,"3- B,S,C",3.75
651,2466,"Zorzal, batch 40",Crow and Moss,70.0,"2- B,S",3.25
652,2466,"Aruaca, batch 39",Crow and Moss,70.0,"2- B,S",3.25
653,2466,"Wampusirpi, batch 41",Crow and Moss,70.0,"2- B,S",3.5
654,2502,"Camino Verde, batch 84",Crow and Moss,70.0,"2- B,S",3.25
655,2656,"Anamalai, Pollachi City, batch 148",Crow and Moss,70.0,"2- B,S",3.75
656,2720,"El Peten, batch 21156",CRU,72.0,"2- B,S",3.5
657,2724,"La Dalia, batch 21266",CRU,72.0,"2- B,S",3.5
658,2724,"La Masica, batch 21155",CRU,72.0,"2- B,S",3.0
659,2522,"Pisa, 2020 harvest, batch 20111",Cultura,70.0,"3- B,S,C",3.5
660,2522,"Maya Mountain, 2020 harvest, batch 20107",Cultura,75.0,"3- B,S,C",3.5
661,2526,"Lachua, Cacao Verapaz, 2018 harvest, batch 20092",Cultura,70.0,"3- B,S,C",3.25
662,2526,"Tabasco, Agrofloresta Cacao, 2020 h., batch 20098",Cultura,70.0,"3- B,S,C",3.5
663,2622,"Comalcalco, Tabasco, b. 2370003, 2019 harvest",Cuna de Piedra,73.0,"2- B,S",3.75
664,785,"Daintree Estates, N. Queensland",Daintree,70.0,"5- B,S,C,V,L",3.25
665,1654,Goodman Estate,Daintree,70.0,"3- B,S,C",2.75
666,1928,"Dominican Republic, batch 7",Dalloway,72.0,"2- B,S",2.75
667,1610,Robson Estate,Damson,70.0,"3- B,S,C",3.0
668,1610,Los Rios,Damson,70.0,"3- B,S,C",3.5
669,1666,Crayfish Bay aka Non Pariel Estate,Damson,70.0,"3- B,S,C",2.25
670,1666,O'Payo,Damson,70.0,"3- B,S,C",2.75
671,2064,"Angel Bar, Nicaragua, Madagascar",Damson,65.0,"4- B,S,C,L",2.5
672,2574,"Puerto Rico, collab w/ USDA (Juan Echevarria)",Dancing Lion,68.0,"4- B,S,C,L",2.5
673,2574,Anamalai,Dancing Lion,72.0,"4- B,S,C,L",3.0
674,2574,"Ucayali, collab w/ USAID & Alanzo Cacao",Dancing Lion,72.0,"4- B,S,C,L",3.5
675,805,Upala,Dandelion,70.0,"2- B,S",3.0
676,805,Colombian,Dandelion,70.0,"2- B,S",3.25
677,915,"Elvesia, 2011",Dandelion,70.0,"2- B,S",3.75
678,1026,"Cumboto, farmer Jose Lugo, batch 1",Dandelion,70.0,"2- B,S",2.75
679,1026,"Patanemo, batch 3",Dandelion,70.0,"2- B,S",3.25
680,1085,"Mantuano, 2012, batch 1",Dandelion,70.0,"2- B,S",3.5
681,1153,"Papua New Guinea, batch 1",Dandelion,70.0,"2- B,S",3.5
682,1219,Maya Mountain,Dandelion,70.0,"2- B,S",3.5
683,1295,"Camino Verde P., Balao, Guayas, 2013",Dandelion,70.0,"2- B,S",3.5
684,1303,Buto,Dandelion,70.0,"2- B,S",2.75
685,1387,"San Francisco de Macoris, Cibao region",Dandelion,70.0,"2- B,S",3.75
686,1446,"Maya Mtn., Break Bar- Snark",Dandelion,70.0,"2- B,S",3.0
687,1816,"Zorzal Reserva, 2015 H., Kerchner",Dandelion,70.0,"2- B,S",3.75
688,2024,"Hacienda Azul, 2016 Harvest",Dandelion,70.0,"2- B,S",3.0
689,2178,"Gola Rainforest, 2017 harvest",Dandelion,70.0,"2- B,S",3.0
690,2178,"WAMPU, La Mosquitia, 2017 harvest",Dandelion,70.0,"2- B,S",3.25
691,2178,"Anamalai, 2017 harvest",Dandelion,70.0,"2- B,S",3.5
692,2386,"Ben Tre, 2018 Harvest",Dandelion,70.0,"2- B,S",3.5
693,2546,"Kokoa Kamili, 2017 h., batch 2",Dandelion,70.0,"2- B,S",3.5
694,2546,"Vale Potumuju, 2019 h., batch 1",Dandelion,70.0,"2- B,S",4.0
695,2550,"Piura Blanco, 2015 h.,Norandino Coop, batch 1",Dandelion,70.0,"2- B,S",3.25
696,2550,"Zorzal Estate, 2016 h., batch 1",Dandelion,70.0,"2- B,S",3.5
697,2602,"Cahabon, Cacao Verapaz, ADIOESMAC, batch 1",Dandelion,70.0,"2- B,S",2.75
698,2602,"Anamalai, 2018 H., batch 1",Dandelion,70.0,"2- B,S",2.75
